Entidad federativa,Deciles de hogares 1,Periodo,Porcentaje de personas con discapacidad con acceso a servicios de salud,Personas con discapacidad usuarias de algún servicio médico,Personas con discapacidad
Aguascalientes,VIII,2016,81.17,6466,7966
Aguascalientes,IX,2016,88.03,4787,5438
Aguascalientes,X,2016,80.5,4150,5155
Baja California,Total,2010,77.05,125441,162804
Baja California,I ,2010,62.53,15607,24961
Baja California,II ,2010,37.01,7798,21069
Baja California,III,2010,73.23,6101,8331
Baja California,IV,2010,76.01,19897,26178
Baja California,V,2010,91.72,17968,19590
Baja California,VI,2010,100,8660,8660
Baja California,VII,2010,71.83,7745,10782
Baja California,VIII,2010,100,18038,18038
Baja California,IX,2010,87.52,10998,12566
Baja California,X,2010,100,12629,12629
Baja California,Total,2012,59.76,137668,230381
Baja California,I ,2012,39.51,17665,44712
Baja California,II ,2012,30.86,3030,9820
Baja California,III,2012,25.11,10547,42007
Baja California,IV,2012,76.11,19875,26113
Baja California,V,2012,25.56,4154,16251
Baja California,VI,2012,SD,0,0
Baja California,VII,2012,82.85,17697,21360
Baja California,VIII,2012,89.26,45034,50452
Baja California,IX,2012,100,10537,10537
Baja California,X,2012,100,9129,9129
Baja California,Total,2014,73.68,120425,163447
Baja California,I ,2014,65.91,20920,31742
Baja California,II ,2014,87.42,16722,19129
Baja California,III,2014,81.11,17500,21575
Baja California,IV,2014,69.67,12464,17890
Baja California,V,2014,93.71,10861,11590
Baja California,VI,2014,33.8,3198,9462
Baja California,VII,2014,63.29,11672,18443
Baja California,VIII,2014,73.38,9456,12886
Baja California,IX,2014,75.38,9484,12582
Baja California,X,2014,100,8148,8148
Baja California,Total,2016,74.09,138975,187578
Baja California,I ,2016,64.5,23820,36931
Baja California,II ,2016,70.63,18472,26155
Baja California,III,2016,67,18662,27854
Baja California,IV,2016,75.77,12067,15925
Baja California,V,2016,57.18,10427,18235
