Entidad federativa,Deciles de hogares 1,Periodo,Porcentaje de personas con discapacidad con acceso a servicios de salud,Personas con discapacidad usuarias de algún servicio médico,Personas con discapacidad
Zacatecas,V,2014,40.5,9058,22368
Zacatecas,VI,2014,46.43,8920,19211
Zacatecas,VII,2014,26.86,3049,11351
Zacatecas,VIII,2014,41.87,6078,14516
Zacatecas,IX,2014,87.94,4997,5682
Zacatecas,X,2014,69.07,4265,6175
Zacatecas,Total,2016,44.92,65258,145274
Zacatecas,I ,2016,22.01,6068,27571
Zacatecas,II ,2016,37.43,8328,22248
Zacatecas,III,2016,39.71,5702,14360
Zacatecas,IV,2016,44.11,6851,15531
Zacatecas,V,2016,55.14,7305,13249
Zacatecas,VI,2016,46.07,5779,12544
Zacatecas,VII,2016,55.57,6209,11173
Zacatecas,VIII,2016,64.82,6245,9634
Zacatecas,IX,2016,58.83,5234,8897
Zacatecas,X,2016,74.87,7537,10067
